country,region_name,nuts_code,year_week,rate_14_day_per_100k,source
Austria,Wien,AT13,2020-49,410.058439998933,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2020-50,377.879552593121,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2020-51,323.253929094476,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2020-52,235.716890671838,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2020-53,237.54820946729,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-01,262.558791873758,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-02,229.281113190675,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-03,186.323606588771,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-04,180.149446078388,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-05,187.370074471887,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-06,211.281865601083,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-07,250.262794247148,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-08,321.998167634737,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-09,405.192364342444,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-10,496.810627509234,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-11,561.534666079947,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-12,614.485940965607,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-13,629.973665635721,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-14,580.318764581876,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-15,483.67745557613,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-16,338.898623947057,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-17,256.646248334154,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-18,194.276762500451,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-19,131.907276666749,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-20,102.972439698596,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-21,66.5553573661659,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-22,52.4280409441024,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-23,59.3870523668226,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-24,49.8641946304687,"Epidemic intelligence, subnational weekly data"
Austria,Wien,AT13,2021-25,36.8356694856767,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-13,,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-14,24.2297694786858,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-15,25.2987298968631,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-16,14.7872857847862,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-17,3.91952153331682,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-18,1.60344062726597,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-19,0.178160069696219,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-20,0,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-21,0.356320139392439,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-22,0.890800348481096,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-23,0.356320139392439,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-24,0.534480209088658,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-25,1.78160069696219,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-26,1.78160069696219,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-27,1.78160069696219,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-28,2.85056111513951,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-29,3.02872118483573,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-30,1.95976076665841,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-31,3.74136146362061,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-32,8.19536320602609,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-33,21.2010482938501,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-34,22.4481687817236,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-35,10.3332840423807,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-36,7.48272292724121,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-37,12.8275250181278,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-38,22.9826489908123,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-39,36.7009743574212,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-40,40.0860156816493,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-41,68.0571466239558,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-42,98.1661984026168,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-43,153.039499869052,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-44,309.820361201725,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-45,564.589260867319,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-46,1076.08682096516,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-47,1236.43088369176,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-48,1020.67903928964,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-49,797.088151820885,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-50,614.830400521653,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-51,535.014689297747,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-52,385.00391061353,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2020-53,347.590295977324,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-01,362.199421692414,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-02,300.912357716914,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-03,230.004649977819,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-04,473.727625322247,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-05,494.216033337312,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-06,268.665385101899,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-07,286.659552141217,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-08,329.952449077398,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-09,368.613184201478,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-10,380.015428662036,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-11,370.39478489844,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-12,372.889025874187,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-13,399.969356468012,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-14,432.038169013332,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-15,428.118647480015,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-16,344.561574792488,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-17,286.837712210913,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-18,231.429930535389,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-19,150.901579032698,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-20,101.194919587453,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-21,66.2755459269936,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-22,49.5284993755489,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-23,31.5343323362308,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-24,11.0459243211656,"Epidemic intelligence, subnational weekly data"
Austria,Karnten,AT21,2021-25,-2.49424097574707,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-13,,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-14,49.1818404277938,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-15,54.1561864416979,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-16,28.7228366609301,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-17,12.1149394854761,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-18,8.50452705602959,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-19,4.41272630265686,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-20,3.93133797873066,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-21,2.00578468302585,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-22,0.962776647852406,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-23,0.722082485889305,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-24,0.481388323926203,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-25,0.722082485889305,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-26,2.56740439427308,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-27,4.89411462658307,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-28,6.17781682371961,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-29,7.94290734478235,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-30,10.3498489644134,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-31,7.70221318281925,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-32,5.61619711247237,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-33,10.7510059010185,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-34,16.9288227247381,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-35,23.2671023230998,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-36,24.9519614568415,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-37,33.6169512875132,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-38,47.6574440686941,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-39,48.1388323926203,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-40,44.8493455124579,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-41,63.1421018216537,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-42,118.421527685846,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-43,256.579976652666,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-44,455.393354434188,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-45,757.143602148597,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-46,920.4144753469,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-47,836.57267559642,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-48,729.383542135519,"Epidemic intelligence, subnational weekly data"
Austria,Steiermark,AT22,2020-49,591.385555943341,"Epidemic intelligence, subnational weekly data"
